"metaphln"	"binsPTR"	"binsRelab"	"Ref_PTR"	"Ref_Relab"
"CSM67UBB"	0.830962400815527	0.617089234505948	0.905236638069844	0.673458012137221	0.847036666779871
"CSM67UBF"	0.919127083397519	0.914711240316896	0.986571018943933	0.901219814719013	0.848741542074932
"CSM67UBH"	0.88678390326343	0.902850569368549	0.987052578621967	0.793487995657825	0.819255342931067
"CSM67UBN"	0.894639672810768	0.911138128111448	0.984183526200707	0.828088791267812	0.834323371730425
"CSM67UBR"	0.909284421821558	0.915168387797971	0.987137692404913	0.860386352754849	0.83513631905045
"CSM67UBX"	0.758729649164975	0.593039596186236	0.800593396874967	0.607133481338386	0.669203214600206
"CSM67UBZ"	0.70035756914651	0.553542407621706	0.780751972404285	0.626928891178565	0.648451425856373
"CSM67UC6"	0.70888311282934	0.621072867269921	0.814582739527275	0.617562214175665	0.634314112347721
"CSM67UCK"	0.651253384651423	0.678451474444979	0.833929660598376	0.662672740567652	0.677133630317494
"CSM67UDF"	0.710436370253747	0.816254445885414	0.901784292905374	0.621804078198987	0.687306048221211
"CSM67UDJ"	0.724407616286483	0.837484655761507	0.924614933558876	0.626465353729458	0.693463750498465
"CSM67UDN"	0.735831150951815	0.834763111613693	0.918346996890883	0.612566608590375	0.679631062564746
"CSM67UDR"	0.666991694108014	0.730374856010638	0.864613988163033	0.62817738828337	0.677569828777052
"CSM67UDR_TR"	0.679445247230367	0.776470034127242	0.86806464584318	0.600611844703125	0.686592927074299
"CSM67UDY"	0.724298685612664	0.796758258944307	0.910157749905271	0.597576711282856	0.675372763752381
"CSM67UE3"	0.745443160843627	0.797919482694575	0.92160873912934	0.65646657107958	0.68897912697437
"CSM67UE7"	0.685096106147259	0.586910860531716	0.729458300400885	0.59721060373509	0.664001343413269
"CSM67UEA"	0.65471333721148	0.542690206977222	0.715231764579016	0.555019768673608	0.608408313724876
"CSM67UEI"	0.796492282694665	0.924370610053443	0.967921462689394	0.784706707072074	0.759462928627492
"CSM67UEM"	0.802684290002268	0.939751086339572	0.959433726099184	0.811124273029245	0.755849075696495
"CSM67UEW"	0.755133178091307	0.583154969200653	0.792492720063652	0.629477862024727	0.751087048080517
"CSM67UEW_TR"	0.763360841915274	0.582168346931789	0.801961159219589	0.641160724599033	0.754843757205922
"CSM67UF1"	0.732739235872995	0.650256348855951	0.776817532685459	0.61806725715813	0.722396413428237
"CSM67UF5"	0.801854837048061	0.591262868777686	0.76997407105513	0.642904664220938	0.820000140470149
"CSM67UFV"	0.62042604109845	0.560982213060432	0.803166770615368	0.582610604863329	0.609445526943343
"CSM67UFZ"	0.660549263686899	0.58460676608546	0.854685114484585	0.550476435071437	0.618684203737915
"CSM67UG8"	0.614664754601225	0.55146380187172	0.761406553877333	0.577882255806002	0.60035551489805
"CSM67UGC"	0.907661460283114	0.871568006389215	0.933788715447503	0.776296644495136	0.905381893373116
"CSM67UGO"	0.647006995236466	0.595187427371981	0.710179754256191	0.567031336616694	0.64319491468693
"CSM67UH7"	0.841304075636379	0.703513481288943	0.831243937746154	0.607762110011931	0.795005873211535
"CSM79HG5"	0.874755643162606	0.864249122956324	0.931828221952921	0.76789840308816	0.778904267872813
"CSM79HGF"	0.680723636685943	0.726877456314314	0.78274398666196	0.676821072361155	0.72080006292799
"CSM79HGP"	0.880947114870403	0.883585273800274	0.899790491725207	0.707810013009969	0.756973325266706
"CSM79HGX"	0.627870084100375	0.737023106672608	0.767099283348151	0.595736154348061	0.629471749551036
"CSM79HGZ"	0.713424545508909	0.620976458095978	0.852083852076469	0.590161942912077	0.67589707930662
"CSM79HH4"	0.816063154694049	0.852151238165631	0.957178437336771	0.699719221533966	0.783011394217125
"CSM79HH8"	0.791316881780883	0.839895386304969	0.933655677072265	0.697671405900175	0.762881316430759
"CSM79HHA"	0.866117318852484	0.898424185050978	0.952097837038067	0.711093708814663	0.828462356372455
"CSM79HHM"	0.739679051781834	0.577034324185412	0.806416002391062	0.589085831033118	0.702640910490619
"CSM79HHO"	0.716290919681606	0.606398855970445	0.80732701804745	0.624323794340823	0.701361008208698
"CSM79HHU"	0.735749874990837	0.686258957163639	0.880432270308873	0.626173986186955	0.679214309545166
"CSM79HHW"	0.838021714418124	0.819097293649175	0.884094612689511	0.781722558441485	0.784020975143579
"CSM79HI3"	0.993124771973454	1	0.998241266450987	1	0.998904646381811
"CSM79HI7"	0.992061380058974	1	0.999485674537183	1	0.999015235536302
"CSM79HIB"	0.990472464906708	1	0.997603694879737	1	0.998478518659554
"CSM79HID"	0.827840427486155	0.84276080654047	0.901967570643447	0.708671154081351	0.758576483352398
"CSM79HIF"	0.835696737551433	0.856424232261934	0.887326072260609	0.703803311251879	0.759787171373341
"CSM79HIH"	0.829535760368315	0.863631557722008	0.893645473025864	0.707193084194443	0.755807281716509
"CSM79HIJ"	0.824869135213608	0.845730880188651	0.900280528967725	0.709431129058227	0.762369533371323
"CSM79HIL"	0.849500536704035	0.851488690114632	0.899319917711619	0.721291090149588	0.77968188647838
"CSM79HIN"	0.81642153047045	0.849843221034636	0.904051797086142	0.703622080777427	0.727717306298012
"CSM79HIR"	0.670785800014775	0.70940178958336	0.807968276908414	0.604826435433489	0.632700108082708
"CSM79HIT"	0.653730384270786	0.711704775416333	0.830474191697939	0.617100780501742	0.662561405290458
"CSM79HIV"	0.701735391054237	0.756835315794651	0.874431310532829	0.631805582955217	0.660190581438101
"CSM79HIX"	0.724404564236048	0.724398301196229	0.824890268164883	0.628735812822958	0.676801521802117
"CSM79HIZ"	0.640141006641445	0.596792445679163	0.7379026828521	0.562291488948896	0.677236002453424
"CSM79HJA"	0.655317345371901	0.721924389122161	0.765172784699887	0.597757045967743	0.62835686847357
"CSM79HJM"	0.810683343166834	0.830441076233753	0.884432089699595	0.688563664684672	0.763980125581497
"CSM79HJO"	0.757640341068308	0.757370594473831	0.876441329453624	0.714952606643985	0.761240279720245
"CSM79HJQ"	0.933078749671345	1	0.997740990704247	0.934919423969218	0.949683701343754
"CSM79HJS"	0.709654779858807	0.762265127963636	0.857328878554729	0.655326191519045	0.743612354755869
"CSM79HJU"	0.817016336709768	0.803021924410367	0.885938163174545	0.806534637968697	0.872183175965952
"CSM79HJW"	0.924749649295728	0.914549778610087	0.987338498402735	0.861733013961138	0.847787603090495
"CSM79HJY"	0.913366353197597	0.903945121920133	0.983333673810671	0.838743527989198	0.837249806073539
"CSM79HK9"	0.685475461601475	0.587221052632224	0.753286574676243	0.592409558655184	0.622011006131256
"CSM79HKB"	0.69563148444978	0.634222015175941	0.740474213084987	0.615081933769512	0.634022891582461
"CSM79HKT"	0.963055775303365	1	0.994864885255485	0.839966804294361	0.814585139608298
"CSM79HKV"	0.969789894493703	1	0.995643312878078	0.850272661737641	0.830541359581176
"CSM79HKX"	0.720234738889501	0.656552467476697	0.874127243854013	0.557538683040927	0.649677409243737
"CSM79HKZ"	0.764059177064588	0.70192814320371	0.925110125947159	0.574856637290549	0.682564609973985
"CSM79HL4"	0.697131847028892	0.665541718041055	0.851680140176336	0.561488423670435	0.635627547786883
"CSM79HL6"	0.709697943790683	0.711461269910284	0.840706709167097	0.578761663736133	0.644622453881783
"CSM79HLA"	0.738578265199597	0.825335524532063	0.893617286116035	0.636530582766398	0.734259309531739
"CSM79HLA_TR"	0.738498629373579	0.858518807546565	0.909482762007569	0.632575460695641	0.715848864742213
"CSM79HLC"	0.757023229047641	0.826964668078444	0.933448100910567	0.629509477305104	0.682222475209656
"CSM79HLE"	0.749654244433028	0.850590747757275	0.930670451265204	0.62535759857589	0.714679726301232
"CSM79HLG"	0.706756869811466	0.862877480684873	0.89739160286653	0.623022845602579	0.699423912808504
"CSM79HLI"	0.75123729777775	0.852071555319368	0.933275628037962	0.626277890931067	0.658075272520217
"CSM79HLK"	0.731070063107838	0.850918911383299	0.917991189375981	0.651815631396533	0.689960744136201
"CSM79HLM"	0.762113967367438	0.625721017036403	0.826605350743743	0.61816841706324	0.681255548995835
"CSM79HM1"	0.77070144078841	0.746500843163206	0.838054971421914	0.601746385331037	0.747739618025185
"CSM79HM7"	0.760857466576934	0.545250462365806	0.794387006752065	0.653049155284289	0.809272216757319
"CSM79HMN"	0.630719566531387	0.570896581309035	0.768904246124772	0.611767269847905	0.620620443831119
