"Species"	"Kruskall_Wallis_P_Value"	"CD_nonIBD_P_Value"	"CD_UC_P_Value"	"UC_nonIBD_P_Value"	"CD_Mean"	"UC_Mean"	"nonIBD_Mean"
"X39488.4.patric"	"0.79283277815693"	"0.938502492687112"	"1"	"0.938502492687112"	"0.0878877473932695"	"0.132994627420707"	"0.135527494727159"
"X445970.5.patric"	"0.00838651921009253"	"0.00578866812760679"	"0.962004351573618"	"0.0687858296656031"	"0.186228924118538"	"0.157937650876964"	"0.309032604819638"
"X445974.6.patric"	"0.920583792843186"	"0.85204344635228"	"0.85204344635228"	"0.85204344635228"	"0.0309033526605229"	"0.0231281757874068"	"0.0174503322588694"
"X457421.5.patric"	"0.290965277175641"	"0.409811388330936"	"0.409811388330936"	"0.409811388330936"	"0.144446444700602"	"0.0946568553652575"	"0.0664351634093097"
"X460384.4.patric"	"0.718285590337824"	"0.78356583772989"	"0.78356583772989"	"0.78356583772989"	"0.0794903285488275"	"0.0464997262733903"	"0.0156776716085307"
"X46503.4.patric"	"0.714681209226721"	"0.724126888503006"	"0.724126888503006"	"0.724126888503006"	"0.184233459489169"	"0.243320222938775"	"0.230687097058713"
"X469591.4.patric"	"0.730508961585359"	"0.837483443731642"	"0.837483443731642"	"0.837483443731642"	"0.490633714653499"	"0.536527795348683"	"0.538636562763095"
"X469610.4.patric"	"0.667238606370352"	"0.714303156922162"	"0.714303156922162"	"0.860952136060379"	"0.117398820082902"	"0.145250816001646"	"0.098905936416006"
"X483215.6.patric"	"0.0324647040201173"	"0.0475090898376224"	"0.0475090898376224"	"0.803566416196146"	"0.0385506775234771"	"0.106567983502534"	"0.14787514985651"
"X545696.5.patric"	"0.678804162681134"	"0.731502530188396"	"0.731502530188396"	"1"	"0.0416624017353128"	"0.0341925598234904"	"0.0417041151766461"
"X573.1549.patric"	"0.772946808105515"	"0.792895503178961"	"0.792895503178961"	"0.792895503178961"	"0.0640324857883624"	"0.0282405069856905"	"0.0388043687658736"
"X59620.13.patric"	"0.157961411074432"	"0.410010022833628"	"0.410010022833628"	"0.160527932928628"	"0.0347425331593843"	"0.0708534958054371"	"0.0449975522881733"
"X59620.24.patric"	"0.0330576659820992"	"0.0323903631731885"	"0.277125123410077"	"0.277125123410077"	"0.029367967636776"	"0.052034425186468"	"0.144936389405581"
"X59620.49.patric"	"0.295548429280281"	"0.251306016496999"	"0.593186254601716"	"0.593186254601716"	"0.0714802415794741"	"0.0818788778985196"	"0.0417243457404898"
"X649756.4.patric"	"0.527158254495319"	"0.938502884778471"	"0.556266499956332"	"0.556266499956332"	"0.0605732419945371"	"0.109374772740234"	"0.0980722915437576"
"X665951.3.patric"	"0.0977110353127318"	"0.144195200839624"	"0.144195200839624"	"0.807420042140384"	"0.132243610551751"	"0.0844595192354625"	"0.119648092289013"
"X702446.3.patric"	"0.362004083639021"	"0.397587373916389"	"0.397587373916389"	"0.823755223491389"	"0.557781942447867"	"0.613917900253503"	"0.630632081247678"
"X742725.3.patric"	"0.197643335442958"	"0.307257909342751"	"0.307257909342751"	"0.92471903748677"	"0.0419784018210594"	"0.00872120006140204"	"0.0248376237591381"
"X742821.3.patric"	"0.0348321858555058"	"0.0859726511498709"	"0.671125458389813"	"0.0875179535052864"	"0.0831767351214878"	"0.0946646057974873"	"0.357664387149073"
"X765821.5.patric"	"0.384103043745688"	"0.649916812809791"	"0.490957849032691"	"0.490957849032691"	"0.194893254622648"	"0.283167796964066"	"0.204632480309514"
"X765821.8.patric"	"0.473785237393188"	"0.482593806623119"	"0.482593806623119"	"0.947886676097057"	"0.191699683355392"	"0.166948618962837"	"0.21966134577794"
"X817.56.patric"	"0.140160320521855"	"0.892979885505748"	"0.204055692171215"	"0.204055692171215"	"0.0368093197348454"	"0.0446785512428431"	"0.00399298464649633"
"X927665.4.patric"	"0.0981845475676461"	"0.164729113222856"	"0.164729113222856"	"1"	"0.0127605639219995"	"0.0438847746364043"	"0.0991418663342241"
"X999410.3.patric"	"0.00804865270905633"	"0.930288570115691"	"0.00807568143941762"	"0.0497399811882717"	"0.125980131766731"	"0.0138369558549692"	"0.0411377320344891"
"ERS235525_24.hgm"	"0.318187084290903"	"0.397101145826251"	"0.397101145826251"	"0.397101145826251"	"0.0329979297549915"	"0.0415959987687864"	"0.10617211631965"
"ERS235534_25.hgm"	"0.774898250534682"	"0.758740135049145"	"0.758740135049145"	"0.758740135049145"	"0.0302888913703073"	"0.039046519112823"	"0.0786602719476509"
"ERS235560_81.hgm"	"0.740532778339233"	"0.812703686128436"	"0.812703686128436"	"0.812703686128436"	"0.217259343998597"	"0.326481421534257"	"0.300433623765111"
"ERS235564_44.hgm"	"0.451631533125698"	"0.564175412048649"	"0.816612067893571"	"0.564175412048649"	"0.176980882001895"	"0.203353047687893"	"0.33581575011285"
"ERS396406_17.hgm"	"0.0114747371438062"	"0.0148647979825253"	"0.912619085867077"	"0.0148647979825253"	"0.534278976756577"	"0.559050661836815"	"0.722026019598424"
"ERS396428_22.hgm"	"0.235012595231432"	"0.326087802691459"	"0.326087802691459"	"0.659411787492487"	"0.113662676462323"	"0.133019237064752"	"0.185879494287801"
"ERS396436_36.hgm"	"0.677297547264936"	"0.848690985285521"	"0.749641866737148"	"0.749641866737148"	"0.342105491465257"	"0.378272149691145"	"0.363897291971143"
"ERS396465_42.hgm"	"0.773963381968741"	"0.87539543800251"	"0.87539543800251"	"0.985468969897774"	"0.0926176063229676"	"0.103973786078343"	"0.0983794810495433"
"ERS396493_5.hgm"	"0.6966218150729"	"0.662520583540057"	"0.662520583540057"	"0.662520583540057"	"0.0532471790509748"	"0.0420897955273494"	"0.135326546515019"
"ERS396509_31.hgm"	"0.913627910676568"	"0.967471647643817"	"0.967471647643817"	"0.967471647643817"	"0.232882198406552"	"0.19204155662623"	"0.261989205404227"
"ERS396528_23.hgm"	"0.428725349723867"	"0.657907949037957"	"0.859683795198666"	"0.859683795198666"	"0.0156384371053477"	"0.0281716739699457"	"0.100117547580178"
"ERS473051_14.hgm"	"0.0547225054821805"	"0.0791838433496738"	"0.698535358303339"	"0.0791838433496738"	"0.0297290420703383"	"0.0430211224396875"	"0.170773451754461"
"ERS473088_19.hgm"	"0.588745625457317"	"0.746819039664639"	"0.746819039664639"	"1"	"0.0387045083709222"	"0.0398792241053368"	"0.0727247432837264"
"ERS473122_41.hgm"	"0.332679429011767"	"0.410678949018203"	"0.742648450653948"	"0.410678949018203"	"0.101543432779022"	"0.108398123880588"	"0.175655771648729"
"ERS473180_17.hgm"	"0.241917009015322"	"0.306012245431007"	"0.617075077451974"	"0.306012245431007"	"0.0522068792919892"	"0.0636872966107171"	"0.185006538401517"
"ERS473219_31.hgm"	"0.968368233878292"	"1"	"1"	"1"	"0.0259933625266499"	"0.010993251087587"	"0.108348177646845"
"ERS473221_34.hgm"	"0.492740255327295"	"0.81043706191113"	"0.766869322639238"	"0.92471903748677"	"0.00907732530024848"	"0.0318829722582435"	"0.0232051735558715"
"ERS473240_3.hgm"	"0.285038340712078"	"0.561275836134578"	"0.472953678122618"	"0.472953678122618"	"0.0325926178493179"	"0.0168214077656507"	"0.145981679569169"
"ERS473296_9.hgm"	"0.316410681013525"	"0.430522240304879"	"0.610611303762428"	"0.430522240304879"	"0.0286739019722953"	"0.0121584654206478"	"0.0262324293497687"
"ERS473331_31.hgm"	"0.99004983374917"	"1"	"1"	"1"	"0.029440337000041"	"0.0371396406521658"	"0.0865429438488924"
"ERS473343_37.hgm"	"0.520615795094304"	"0.635256295997248"	"0.635256295997248"	"0.635256295997248"	"0.0219764186939198"	"0.024661256997662"	"0.0624681605620856"
"ERS473381_6.hgm"	"0.0978606719878808"	"0.296269871484286"	"0.185844454240444"	"0.296269871484286"	"0.0373430504486211"	"0.0915961457874746"	"0.0553425991594481"
"ERS473414_25.hgm"	"0.152463000303381"	"0.672603817441517"	"0.579714346156849"	"0.20350879551755"	"0.0140604735814127"	"0.00391948088842643"	"0.110338808683717"
"ERS537180_31.hgm"	"0.397788937625634"	"0.820753087882979"	"0.627077862803401"	"0.476987726631905"	"0.0667858006328874"	"0.130968468614269"	"0.0397258451251924"
"ERS537183_49.hgm"	"0.238719147651574"	"0.308694852153611"	"0.877716683073215"	"0.354876139982814"	"0.0540872816815949"	"0.101334305133416"	"0.184097007894074"
"ERS537188_55.hgm"	"0.583736000900762"	"0.825497910704632"	"0.710385298756807"	"0.710385298756807"	"0.0406791045551126"	"0.029497343821321"	"0.0613537040785047"
"ERS537194_38.hgm"	"0.559159536173368"	"0.625483593616452"	"0.625483593616452"	"0.625483593616452"	"0.10988788360229"	"0.152344990228723"	"0.160405309361202"
"ERS537197_59.hgm"	"0.218074473831415"	"0.258380203477363"	"0.612736563453111"	"0.258380203477363"	"0.0659562987822416"	"0.0609565717993694"	"0.102332803852639"
"ERS537219_61.hgm"	"0.0440637756925124"	"0.0387559735900823"	"0.275000844641531"	"0.275000844641531"	"0.378489958193087"	"0.441735674610646"	"0.548038519268899"
"ERS537221_53.hgm"	"0.578678312694377"	"0.728454189010665"	"0.728454189010665"	"0.728454189010665"	"0.0265085631903432"	"0.0799411879544917"	"0.16036560923717"
"ERS537229_8.hgm"	"0.325676538733949"	"0.367580345753805"	"0.631342097071802"	"0.367580345753805"	"0.309848470671512"	"0.378834652622191"	"0.44366139364505"
"ERS537233_63.hgm"	"0.195943914848239"	"0.261001854359374"	"0.406389562650729"	"0.261001854359374"	"0.247385970458649"	"0.274292186455474"	"0.316782006201255"
"ERS537236_4.hgm"	"0.0891368528681369"	"0.276858829259824"	"0.386476230771233"	"0.268944166320475"	"0.0052775360741158"	"0.00232558721496397"	"0.0683558246773909"
"ERS537240_18.hgm"	"0.366160648755042"	"0.61273680936119"	"0.518707409716212"	"0.612789112815074"	"0.251519474998385"	"0.393004789034586"	"0.350292016866774"
"ERS537246_12.hgm"	"0.467335416755623"	"0.510670822386157"	"0.510670822386157"	"0.510670822386157"	"0.0371881269038871"	"0.030898885391624"	"0.072095360221461"
"ERS537247_14.hgm"	"0.20525663422961"	"0.396554238121621"	"0.272618428763298"	"0.396554238121621"	"0.03948232348876"	"0.0571317399938914"	"0.141156289618764"
"ERS537252_4.hgm"	"0.750565689136386"	"1"	"1"	"1"	"0.0237937436522094"	"0.05011939792107"	"0.0546571582304331"
"ERS537292_27.hgm"	"0.957887971936928"	"0.982070387200874"	"0.982070387200874"	"0.982070387200874"	"0.0753662509957225"	"0.100440553557541"	"0.0926181493539879"
"ERS537293_53.hgm"	"0.568905672254256"	"0.732194270471602"	"0.732194270471602"	"0.732194270471602"	"0.137971708538746"	"0.181159793760916"	"0.211869412150886"
"ERS537304_27.hgm"	"0.989637398914995"	"1"	"1"	"1"	"0.030416836676691"	"0.0479269109416715"	"0.0392812272992517"
"ERS537306_47.hgm"	"0.945959468906766"	"1"	"1"	"1"	"0.0415494055771799"	"0.0563936992819247"	"0.120047106958809"
"ERS537338_17.hgm"	"0.304867266811773"	"0.556640054284046"	"0.556640054284046"	"0.662520583540057"	"0.0402277203245542"	"0.0661052578182473"	"0.115610050694257"
"ERS537352_6.hgm"	"0.18181567046762"	"0.810181236410474"	"0.200421603806574"	"0.200421603806574"	"0.0308660454180497"	"0.00178379966247918"	"0.0762178157604973"
"ERS537358_50.hgm"	"0.67989034253813"	"0.902523250177679"	"0.731502530188396"	"0.731502530188396"	"0.0294420670116134"	"0.0576110296340718"	"0.0475993078842164"
"ERS537369_59.hgm"	"0.15172064882395"	"0.153959710764214"	"0.776814004155482"	"0.586900918923959"	"0.0540258705676184"	"0.0645532261201895"	"0.120183496482"
"ERS537392_14.hgm"	"0.0603791693938181"	"0.112009247761989"	"0.124554659066337"	"0.759462865379934"	"0.0487659103067333"	"0.0203784305020554"	"0.0588140623425916"
"ERS608491_27.hgm"	"0.10555763536097"	"0.13550638760948"	"0.536499469319456"	"0.13550638760948"	"0.0223646314865109"	"0.0339184516307986"	"0.0148816823900604"
"ERS608493_46.hgm"	"0.552925244943002"	"0.631127765050398"	"0.631127765050398"	"0.941652930161036"	"0.0484404592287075"	"0.0361690074490533"	"0.0656693437686734"
"ERS608495_69.hgm"	"0.0780200469071528"	"0.288844366346485"	"0.288844366346485"	"0.12989239733791"	"0.015516430383087"	"0.0139113972469198"	"0.141903385746314"
"ERS608502_34.hgm"	"0.114858971785598"	"0.29861767444881"	"0.281524158800095"	"0.281524158800095"	"0.0072610562156912"	"0.0351902805887536"	"0.0689099667313049"
"ERS608507_35.hgm"	"0.450701445129122"	"0.492922112924104"	"0.492922112924104"	"0.789550874741639"	"0.029701859000938"	"0.0574206046298935"	"0.0737030772403066"
"ERS608510_48.hgm"	"0.778800783071405"	"0.816961321715391"	"0.816961321715391"	"0.816961321715391"	"0.0241109906656326"	"0.0507934977064347"	"0.11100053906963"
"ERS608519_39.hgm"	"0.283685069898981"	"0.39687406111709"	"0.445288514025837"	"0.445288514025837"	"0.168139213749092"	"0.231371708200353"	"0.337586626613973"
"ERS608530_15.hgm"	"0.020664350667419"	"0.818040419189723"	"0.072438472563472"	"0.00855595486764219"	"0.0857827332120988"	"0.133534898269111"	"0.0628006348453547"
"ERS608548_42.hgm"	"0.561510849293887"	"0.670309231066246"	"0.670309231066246"	"1"	"0.0450302519892503"	"0.0460303358246538"	"0.0423216120564657"
